year,pac_name,country_of_origin,parent_company,dems,repubs,total
2008,Barclays Group US,UK,Barclays plc,53000,47000,100000
2008,Barrick Goldstrike Mines,Canada,Barrick Gold Corp,29500,34300,63800
2008,BASF Corp,Germany,BASF SE,109000,198000,307000
2008,Bayer Corp,Germany,Bayer AG,118000,153500,271500
2008,BBVA Compass,Spain,Banco Bilbao Vizcaya Argentaria,9500,116000,125500
2008,BMO Harris Bank,Canada,Bank of Montreal,0,0,0
2008,Boehringer Ingelheim Corp,Germany,CH Boehringer Sohn,33000,54800,87800
2008,Bombardier Transportation USA (Bombardier Inc),Canada,Bombardier Inc,3000,1500,4500
2008,BP North America,UK,BP PLC,81500,117000,198500
2008,Bridgestone Americas,Japan,Bridgestone Corp,56000,57000,113000
2008,Burson-Marsteller (WPP Group),UK,WPP Group,35500,21500,58500
2008,Buzzi Unicem USA,Italy,Buzzi Unicem SpA,4250,19000,23250
2008,CalPortland Co,Japan,Taiheiyo Cement Co,53000,151500,204500
2008,Case New Holland,Italy,Fiat SPA,15000,45000,60000
2008,CEMEX Inc,Mexico,CEMEX SAB de CV,68600,109500,178100
2008,CGI Technologies & Solutions,Canada,CGI Group,14000,7000,21000
2008,Ciba Inc,Switzerland,Ciba Specialty Chemicals Holding,5000,9900,14900
2008,Citizens Financial Group (Royal Bank of Scotland),UK,Royal Bank of Scotland Group,129650,26250,155900
2008,Cobham Management Services,UK,Cobham PLC,0,0,0
2008,Commerce Bancorp,Canada,Toronto-Dominion Bank,25000,10000,35000
2008,Cooper Industries,Ireland,Cooper Industries Ltd,77000,79700,156700
2008,Covidien US,UK,Covidien Ltd,45000,66500,111500
2008,Credit Suisse Securities,Switzerland,Credit Suisse Group,274500,242500,517000
2008,CSL Behring,Australia,CSL Ltd,5500,11250,16750
2008,Daiichi Sankyo Inc,Japan,Daiichi Sanyko,14600,19300,33900
2008,Deutsche Bank Securities,Germany,Deutsche Bank AG,7400,0,7400
2008,DHL (Deutsche Post AG),Germany,Deutsche Post AG,7000,8000,15000
2008,Diageo North America (Diageo PLC),UK,Diageo PLC,69500,34000,103500
2008,DRS Technologies,Italy,Finmeccanica SpA,123500,181400,304900
2008,E ON US,Germany,Eon AG,6000,15000,21000
2008,EADS North America,Netherlands,European Aeronautic Defence & Space Co,66600,83100,149700
2008,Eisai Inc,Japan,Eisai Co Ltd,2500,6000,8500
2008,Elbit Systems of America,Israel,Elbit Systems Ltd,4000,3500,7500
2008,EmCare Inc (Onex Corp),Canada,Onex Corp,0,0,0
2008,EMD Serono Inc,Germany,Merck KGaA,35000,27500,62500
2008,EnCana Oil & Gas USA,Canada,EnCana Corp,0,0,0
2008,Essroc Corp,Italy,Italcementi Group,4500,5000,9500
2008,Experian,UK,Experian,139000,245781,384781
2008,Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services,45000,116400,161400
2008,First Hawaiian Bank (BNP Paribas),France,BNP Paribas,1000,0,1000
2008,Food Lion,Belgium,Delhaize Group,24000,30250,54250
2008,Foster Wheeler,Switzerland,Foster Wheeler PLC,0,2500,2500
2008,Fresenius Medical Care North America,Germany,Fresenius Medical Care,68700,23700,92400
2008,Gateway Inc,Taiwan,Acer Inc,0,0,0
2008,GDF Suez Energy North America,France,GDF SUEZ,36500,38500,75000
2008,Genentech Inc (Roche Holdings),Switzerland,Roche Holdings,186000,76500,262500
2008,GKN Corp,UK,GKN PLC,500,2500,3000
2008,Glanbia Foods (Glanbia PLC),Ireland,Glanbia PLC,0,250,250
2008,GlaxoSmithKline,UK,GlaxoSmithKline,328870,482550,811420
2008,Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,18700,10350,29050
2008,Great-West Life & Annuity Insurance (Power Financial Corp),Canada,Power Financial Corp,13500,8000,21500
2008,Greyhound Lines,UK,FirstGroup PLC,16500,9500,26000
2008,Hanson Building Products North America,Germany,Spohn Cement Gmbh,3787,2000,5787
2008,Heineken USA,Netherlands,L'Arche Green NV,40500,16000,56500
2008,Henkel Corp (Henkel KGaA),Germany,Henkel KGaA,11000,3000,14000
2008,Herbalife International of America,UK,Herbalife International,27414,17999,45413
2008,Hill & Knowlton (WPP Group),UK,WPP Group,3000,2000,5000
2008,Hoffmann-La Roche (Roche Holdings),Switzerland,Roche Holdings,168500,141000,309500
2008,Holcim US,Switzerland,Holcim Ltd,87000,34500,121500
2008,Horizon Wind Energy,Portugal,EDP Renovaveis,0,0,0
2008,HSBC North America,UK,HSBC Holdings,257000,267250,524250
2008,Iberdrola Renewables (Iberdrola SA),Spain,Iberdrola SA,18000,4000,22000
2008,Iberdrola USA (Iberdrola SA),Spain,Iberdrola SA,20500,10000,30500
2008,Indra Systems,Spain,Indra Systems SA,0,0,0
2008,Infineon Technologies,Germany,Infineon Technologies AG,3000,0,3000
2008,ING US (ING Group),Netherlands,ING Group,71500,36500,108000
2008,Intelsat US (Serafina SA),Luxembourg,Serafina SA,18500,12000,30500
2008,International Power America,UK,International Power,0,0,0
2008,International Securities Exchange,Germany,Deutsche Boerse,19100,16500,35600
2008,Jackson National Life Insurance,UK,Prudential PLC,19750,51250,71000
2008,JBS USA,Brazil,JBS SA,25000,53500,78500
2008,John Hancock Financial Services,Canada,Manulife Financial,68000,35000,103000
2008,LaFarge North America,France,Lafarge SA,25000,36500,61500
2008,Learjet Inc (Bombardier Inc),Canada,Bombardier Inc,0,4000,4000
2008,Lehigh Cement,Germany,HeidelbergCement AG,32000,25567,57567
2008,Lone Star Industries,Italy,Buzzi Unicem,0,0,0
2008,LyondellBasell Industries,Netherlands,LyondellBasell Industries,45500,59250,104750
2008,Maersk Inc (AP Moller-Maersk),Denmark,AP Moller-Maersk,84500,87000,171500
2008,Massachusetts Financial Services (Sun Life Financial),Canada,Sun Life Financial Services,23000,16000,39000
2008,McDermott International (McDermott International),Panama,McDermott International,4500,20500,25000
2008,Medimmune Inc (AstraZeneca PLC),UK,AstraZeneca PLC,59100,33500,92600
2008,Metallurg Vanadium Corp,Netherlands,AMG Advanced Metallurgical Group,250,0,250
2008,Metro-Goldwyn-Mayer (Sony Corp),Japan,Sony Corp,0,0,0
2008,Millennium Pharmaceuticals,Japan,Takeda Pharmaceutical Co,7500,2500,10000
2008,Miller Brewing (SABMiller),UK,SABMiller PLC,99500,94500,194000
2008,MillerCoors LLC (SABMiller),UK,SABMiller PLC,0,0,0
2008,National Grid USA (National Grid plc),UK,National Grid plc,36300,15500,51800
2008,National Grid USA (National Grid plc),UK,National Grid plc,52150,15450,67600
2008,Nestle Purina PetCare (Nestle SA),Switzerland,Nestle SA,5250,17500,22750
2008,Nestle USA (Nestle SA),Switzerland,Nestle,8900,7000,15900
2008,Nestle Waters North America (Nestle SA),Switzerland,Nestle,4000,11500,15500
2008,Novartis Corp (Novartis AG),Switzerland,Novartis AG,139050,220000,359050
2008,Novartis Vaccines & Diagnostics (Novartis AG),Switzerland,Novartis AG,0,0,0
2008,Novo Nordisk,Denmark,Novo Nordisk A/S,56544,39500,96044
2008,Oldcastle Materials,Ireland,CRH PLC,205100,198000,403100
2008,Peter Pan Seafoods,Japan,Maruha Nichiro Holdings,3000,5500,8500
2008,Pharmavite LLC,Japan,Otsuka Pharmaceutical,23668,18500,42168
2008,Philips Electronics North America (Philips Electronics),Netherlands,Philips Electronics,39296,74750,114046
2008,Philips Medical Systems (Philips Electronics),Netherlands,Philips Electronics,1000,1000,2000
2008,PotashCorp,Canada,Potash Corporation of Saskatchewan,5000,20000,25000
2008,Putnam Investments (Power Financial Corp),Canada,Power Financial Corp,11000,6000,17000
2008,QBE Regional Insurance,Australia,QBE Insurance Group,0,0,0
2008,Qimonda North America,Germany,Qimonda AG,5500,2000,7500
2008,QinetiQ North America (Qinetiq Group),UK,QinetiQ Group,19200,14600,33800
2008,RBC Centura Banks (Royal Bank of Canada),Canada,Royal Bank of Canada,0,0,0
2008,Reebok International,Germany,adidas AG,500,0,500
2008,Reed Elsevier Inc,UK,Reed Elsevier Group,74800,46500,121300
2008,Renewable Energy Systems Americas,UK,Renewable Energy Systems,3000,0,3000
2008,Research In Motion,Canada,Research in Motion,11000,8500,19500
2008,Rio Tinto America,UK,Rio Tinto Group,19000,24000,43000
2008,Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce PLC,72500,114000,186500
2008,Sanofi-Aventis US (Sanofi-Aventis),France,Sanofi-Aventis,59500,46000,105500
2008,Sanofi-Pasteur Inc (Sanofi-Aventis),France,Sanofi-Aventis,28000,24000,52000
2008,Santander Bank (Banco Santander),Spain,Banco Santander,6525,4000,10525
2008,SAP America,Germany,SAP AG,80500,70000,150500
2008,Schaeffler Group USA,Germany,Schaeffler Group,3500,2300,5800
2008,Securitas Security Services USA,Sweden,Securitas AB,6000,9500,15500
2008,SES Americom (SES SA),Luxembourg,SES SA,9500,7000,16500
2008,Shell Oil,Netherlands,Royal Dutch Shell,25000,50000,75000
2008,Shire Pharmaceuticals,UK,Shire Plc,250,1000,1250
2008,SI International,UK,Serco Group,81500,90250,171750
2008,Siemens Corp (Siemens AG),Germany,Siemens AG,177500,125500,303000
2008,Skilled Healthcare Group (Onex Corp),Canada,Onex Corp,2300,0,2300
2008,Smith & Nephew,UK,Smith & Nephew Plc,13000,15300,28300
2008,Smiths Detection,UK,Smiths Group PLC,4000,1500,5500
2008,Sodexo Inc,France,Sodexo,30000,4500,34500
2008,Solvay Pharmaceuticals,Belgium,Solvay SA,52000,125500,177500
2008,Sony Pictures Entertainment (Sony Corp),Japan,Sony Corp,151500,54000,205500
2008,Space Systems/Loral,UK,Loral Space & Communications,0,0,0
2008,Sparta Inc (Cobham Holdings),UK,Cobham plc,15000,42100,57100
2008,Spirit Aerosystems (Onex Corp),Canada,Onex Corp,3500,15650,19150
2008,SSAB Enterprises,Sweden,SSAB AB,22500,22750,45250
2008,Sun Life Assurance of Canada (Sun Life Financial),Canada,Sun Life Financial,10000,2000,12000
2008,Swedish Match North America,Sweden,Swedish Match AB,23227,34848,58075
2008,Syngenta Corp,Switzerland,Syngenta AG,92500,107600,200100
2008,T-Mobile USA,Germany,Deutsche Telekom AG,215500,176500,392000
2008,Tate & Lyle Americas (Tate & Lyle),UK,Tate & Lyle,18000,22500,40500
2008,Teck Cominco American,Canada,Teck Cominco,0,0,0
2008,Teva Pharmaceuticals USA,Israel,Teva Pharmaceutical Industries,15100,12250,27350
2008,Timex Group USA,Netherlands,Timex Group,0,0,0
2008,Tyco International (Tyco International),Ireland,Tyco International,109500,80500,190000
2008,UBS Americas,Switzerland,UBS AG,436500,406000,842500
2008,Ultra Electronics Prologic,UK,Ultra Electronics,44000,1000,45000
2008,UnionBanCal Corp,Japan,Mitsubishi UFJ Financial Group,2600,0,2600
2008,United Water,France,SUEZ Environnement,13100,50,13150
2008,Universal Music Group (Vivendi Universal),France,Vivendi Universal,98040,69400,167440
2008,VT Halter Marine,Singapore,ST Engineering,1000,6000,7000
2008,Wackenhut Corp,Denmark,Group 4 Securicor,5000,9750,14750
2008,Weatherford US,UK,Weatherford International,1000,0,1000
2008,Westfield Corp,Australia,Westfield Group of Australia,19658,2500,22158
2008,Westinghouse Electric,Japan,Toshiba Corp,10000,17100,27100
2008,Wexler & Walker Public Policy Assoc (WPP Group),UK,WPP Group,59579,42000,101579
2008,Willis North America,UK,Willis Group Holdings,15000,3000,18000
2008,XL America,UK,XL Capital,8600,2300,10900
2008,Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services,93211,107000,200211
2010,7-Eleven,Japan,Seven & I Holdings,0,0,0
2010,ABB Group,Switzerland,Asea Brown Boveri,7500,9000,17000
2010,Accenture (Accenture),Ireland,Accenture plc,193000,143400,337400
2010,Accenture (Accenture),Ireland,Accenture plc,0,0,0
2010,ACE INA,Switzerland,ACE Ltd,129500,111000,240500
2010,AEGON USA,Netherlands,Aegon NV,106500,79500,186000
2010,Agrium US,Canada,Agrium Inc,0,0,2400
2010,Air Liquide America,France,L'Air Liquide SA,18200,4250,24950
2010,Alcatel-Lucent Holding (Alcatel-Lucent),France,Alcatel-Lucent,0,0,0
2010,Alcatel-Lucent USA (Alcatel-Lucent),France,Alcatel-Lucent,15500,5500,21000
2010,Alcon Laboratories (Novartis AG),Switzerland,Novartis,8455,21000,29455
2010,Allianz of America (Allianz),Germany,Allianz AG Holding,37850,47000,84850
2010,American Medical Response (Onex Corp),Canada,Onex Corp,38200,6000,44200
2010,Anheuser-Busch,Belgium,Anheuser-Busch InBev,454000,399500,854500
2010,APL Ltd,Singapore,Neptune Orient Lines Ltd,35000,25000,62500
2010,Arcadis US,Netherlands,Arcadis NV,136250,97500,237750
2010,ArcelorMittal USA,Luxembourg,ArcelorMittal,42500,18000,60500
2010,Arch Capital Group (US),UK,Arch Capital Group,9300,3500,12800
2010,AREVA Inc,France,Areva Group,62400,34500,99900
2010,Arkema Inc,France,Arkema,8500,6000,14500
2010,Astellas US,Japan,Astellas Pharma,56000,37500,93500
2010,AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK,AstraZeneca PLC,368000,328500,703500
2010,Atlantic Marine (BAE Systems),UK,BAE Systems,10000,10500,20500
2010,Aviva USA,UK,Aviva PLC,0,0,0
2010,AXA Equitable Life Insurance (AXA),France,AXA,171500,114000,285500
2010,AXIS Specialty US Services (AXIS Capital),UK,AXIS Captial,3000,0,3000
2010,Bacardi USA,UK,Bacardi Ltd,11025,8000,20025
2010,BAE Systems (BAE Systems),UK,BAE Systems,418500,326000,745000
2010,Ballard Power Systems,Canada,Ballard Power Systems,0,0,0
2010,BancWest Corp (BNP Paribas),France,BNP Paribas,0,0,0
2010,Barclays Group US (Barclays),UK,Barclays plc,46500,57500,104000
2010,Barrick Goldstrike Mines,Canada,Barrick Gold Corp,33000,104500,152500
2010,BASF Corp (BASF SE),Germany,BASF SE,102000,246500,350500
2010,Bayer Corp,Germany,Bayer AG,184000,231000,419000
2010,BBVA Compass,Spain,Banco Bilbao Vizcaya Argentaria,42000,122000,164000
2010,BMO Harris Bank,Canada,Bank of Montreal,2050,0,2050
2010,Boehringer Ingelheim Corp,Germany,CH Boehringer Sohn,132500,101500,236000
2010,Bombardier Transportation USA (Bombardier Inc),Canada,Bombardier Inc,19000,1000,20000
2010,BP North America,UK,BP PLC,31500,35000,71500
2010,Bridgestone Americas,Japan,Bridgestone Corp,65500,38500,104000
2010,Bumble Bee Foods,UK,Lion Capital,12750,4500,17250
2010,Burson-Marsteller (WPP Group),UK,WPP Group,50750,31500,82250
2010,Buzzi Unicem USA,Italy,Buzzi Unicem SpA,1000,6050,7050
2010,CalPortland Co,Japan,Taiheiyo Cement Co,22000,106000,130500
2010,Carmeuse Lime,Netherlands,LVI Holding,8000,1500,9500
2010,Case New Holland,Italy,Fiat SPA,5000,77000,82000
2010,CEMEX Inc,Mexico,CEMEX SAB de CV,33400,225000,260800
2010,CGI Technologies & Solutions (CGI Group),Canada,CGI Group,34000,28854,62854
2010,Ciba Inc (BASF SE),Germany,BASF SE,7725,8000,15725
2010,Citizens Financial Group (Royal Bank of Scotland),UK,Royal Bank of Scotland Group,89150,22000,111150
2010,Cobham Holdings (Cobham Holdings),UK,Cobham plc,4000,11000,15000
2010,Cobham Management Services (Cobham PLC),UK,Cobham PLC,70400,64225,137125
2010,Commonwealth Brands,UK,Imperial Tobacco Group,27300,41000,68300
2010,Converteam Inc (Barclays),UK,Barclays,1800,0,1800
2010,Cooper Industries,Ireland,Cooper Industries Ltd,26000,37000,63000
2010,Covidien US,UK,Covidien Ltd,104000,78500,182500
2010,Credit Suisse Securities,Switzerland,Credit Suisse Group,246500,240500,487000
2010,CSL Behring,Australia,CSL Ltd,17250,17000,34250
2010,Daiichi Sankyo Inc,Japan,Daiichi Sanyko,65500,124000,191500
2010,Deutsche Bank Securities,Germany,Deutsche Bank AG,48400,37000,85400
2010,DHL (Deutsche Post AG),Germany,Deutsche Post AG,3000,0,3000
2010,Diageo North America (Diageo PLC),UK,Diageo PLC,87919,43833,131752
2010,Diageo North America/CT (Diageo PLC),UK,Diageo PLC,0,0,0
2010,DRS Technologies,Italy,Finmeccanica SpA,186000,229300,416300
2010,EADS North America,Netherlands,European Aeronautic Defence & Space Co,104500,102700,207200
2010,Eisai Inc,Japan,Eisai Co Ltd,48500,19500,68000
2010,Elbit Systems of America,Israel,Elbit Systems Ltd,11500,11000,22500
2010,Embraer Aircraft Holdings,Brazil,Embraer-Empresa Brasileira de Aeronautic,2500,3500,7000
2010,EmCare Inc (Onex Corp),Canada,Onex Corp,0,0,0
2010,EMD Serono Inc,Germany,Merck KGaA,83000,40000,123000
2010,EnCana Oil & Gas USA,Canada,EnCana Corp,0,0,0
2010,Essroc Corp,Italy,Italcementi Group,2500,6000,8500
2010,Experian,UK,Experian,145000,332727,477727
2010,Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services,34650,141794,176944
2010,First Hawaiian Bank (BNP Paribas),France,BNP Paribas,9800,1500,11300
2010,FirstGroup America (FirstGroup PLC),UK,FirstGroup PLC,0,0,0
2010,Food Lion,Belgium,Delhaize Group,4500,9500,14000
2010,Foster Wheeler,Switzerland,Foster Wheeler PLC,0,0,0
2010,Fresenius Medical Care North America,Germany,Fresenius Medical Care,97500,27602,125102
2010,G4S Secure Solutions,UK,G4S plc,24000,32500,61500
2010,GDF Suez Energy North America,France,GDF SUEZ,41000,26750,72750
2010,Genentech Inc (Roche Holdings),Switzerland,Roche Holdings,128500,160000,290500
2010,General Cigar Co,Sweden,Scandinavian Tobacco Group,0,0,0
2010,GKN Corp,UK,GKN PLC,1000,0,1000
2010,Glanbia Foods (Glanbia PLC),Ireland,Glanbia PLC,500,2400,2900
2010,GlaxoSmithKline,UK,GlaxoSmithKline,316000,297500,619500
2010,Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,26000,18250,44250
2010,Great-West Life & Annuity Insurance (Power Financial Corp),Canada,Power Financial Corp,6000,6000,12000
2010,Greyhound Lines (FirstGroup PLC),UK,FirstGroup PLC,10500,5500,16000
2010,Gtech Corp,Italy,B&D Holding Di Marco Drago e C Sapa,3500,0,3500
2010,Halcrow Inc,UK,Halcrow Holdings,1000,0,1000
2010,Heineken USA,Netherlands,L'Arche Green NV,34000,19500,53500
2010,Henkel Corp (Henkel KGaA),Germany,Henkel KGaA,7000,4000,11000
2010,Herbalife International of America,UK,Herbalife International,35000,28080,63080
2010,Hill & Knowlton (WPP Group),UK,WPP Group,1000,250,1250
2010,Hoffmann-La Roche (Roche Holdings),Switzerland,Roche Holdings,98500,71000,172000
2010,Holcim US,Switzerland,Holcim Ltd,25000,8500,33500
2010,Horizon Wind Energy,Portugal,EDP Renovaveis,1250,1000,2250
2010,HSBC North America (HSBC Holdings),UK,HSBC Holdings,156500,182500,339000
2010,HSBC North America/Florida (HSBC Holdings),UK,HSBC Holdings,0,0,0
2010,Iberdrola Renewables (Iberdrola SA),Spain,Iberdrola SA,26500,2500,30000
2010,Iberdrola USA (Iberdrola SA),Spain,Iberdrola SA,11250,0,11250
2010,Infineon Technologies,Germany,Infineon Technologies AG,1000,0,1000
2010,ING US (ING Group),Netherlands,ING Group,68000,42500,110500
2010,Intelsat US (Serafina SA),Luxembourg,Serafina SA,48900,18000,66900
2010,Intergraph Corp,Sweden,Hexagon AB,7000,12000,19000
2010,International Power America,UK,International Power,11500,4000,19000
2010,International Securities Exchange,Germany,Deutsche Boerse,31500,18000,49500
2010,Jackson National Life Insurance,UK,Prudential PLC,40000,82774,122774
2010,JBS USA,Brazil,JBS SA,58000,104050,162050
2010,John Hancock Life Insurance,Canada,Manulife Financial,96500,47400,143900
2010,Kurtzman Carson Consultants,Australia,Computershare Limited,0,0,0
2010,LaFarge North America,France,Lafarge SA,37500,53500,91000
2010,Learjet Inc (Bombardier Inc),Canada,Bombardier Inc,1000,4580,5580
2010,Linde North America,Germany,Linde AG,8000,2000,10000
2010,Louis Dreyfus Group (Louis Dreyfus SAS),Netherlands,Louis Dreyfus SAS,12000,25500,37500
2010,Lundbeck Inc,Denmark,H Lundbeck A/S,0,0,0
2010,LyondellBasell Industries,Netherlands,LyondellBasell Industries,27000,34250,65750
2010,Maersk Inc (AP Moller-Maersk),Denmark,AP Moller-Maersk,81000,54750,136750
2010,Magna Holdings of America,Canada,Magna International,2250,0,2250
2010,Marinette Marine,Italy,Fincantieri-Cantieri Navali Italiani SpA,7200,5500,12700
2010,Massachusetts Financial Services (Sun Life Financial),Canada,Sun Life Financial Services,23000,17000,40000
2010,MBDA Inc,UK,MBDA,0,0,0
2010,McDermott International (McDermott International),Panama,McDermott International,3500,31000,35500
2010,Medimmune Inc (AstraZeneca PLC),UK,AstraZeneca PLC,60500,41000,104500
2010,Metallurg Vanadium Corp,Netherlands,AMG Advanced Metallurgical Group,0,0,0
2010,Metro-Goldwyn-Mayer (Sony Corp),Japan,Sony Corp,0,2500,2500
2010,Millennium Pharmaceuticals (Takeda Pharmaceutical Co),Japan,Takeda Pharmaceutical Co,22000,6000,28000
2010,Miller Brewing (SABMiller),UK,SABMiller PLC,0,0,0
2010,MillerCoors LLC (SABMiller),UK,SABMiller PLC,97500,107000,205500
2010,National Grid USA (National Grid plc),UK,National Grid plc,121100,18250,141350
2010,National Grid USA (National Grid plc),UK,National Grid plc,500,0,500
2010,Nestle Purina PetCare (Nestle SA),Switzerland,Nestle SA,4500,21000,25500
2010,Nestle Waters North America (Nestle SA),Switzerland,Nestle,10500,8000,19500
2010,Nomura Holding America,Japan,Nomura Holdings,0,0,0
2010,Novartis Corp (Novartis AG),Switzerland,Novartis AG,163250,174000,339750
2010,Novo Nordisk,Denmark,Novo Nordisk A/S,102318,67500,170818
2010,Oldcastle Materials,Ireland,CRH PLC,165500,134500,301000
2010,Parsons Brinckerhoff,UK,Balfour Beatty,127718,34900,162618
2010,PBS&J Inc,UK,WS Atkins PLC,9100,250,11750
2010,Pernod Ricard USA,France,Pernod Ricard SA,12000,9500,21500
2010,Peter Pan Seafoods,Japan,Maruha Nichiro Holdings,1500,250,3350
2010,Pharmavite LLC,Japan,Otsuka Pharmaceutical,23000,22000,47000
2010,Philips Electronics North America (Philips Electronics),Netherlands,Philips Electronics,38250,76200,118200
2010,Philips Medical Systems (Philips Electronics),Netherlands,Philips Electronics,0,0,0
2010,PotashCorp,Canada,Potash Corporation of Saskatchewan,15500,38500,54000
2010,Putnam Investments (Power Financial Corp),Canada,Power Financial Corp,11766,5500,17266
2010,QBE Regional Insurance,Australia,QBE Insurance Group,0,0,0
2010,QinetiQ North America (Qinetiq Group),UK,QinetiQ Group,10500,11500,22000
2010,RBC Centura Banks (Royal Bank of Canada),Canada,Royal Bank of Canada,1000,250,1250
2010,Reebok International,Germany,adidas AG,4500,0,4500
2010,Reed Elsevier Inc,UK,Reed Elsevier Group,60500,36800,97300
2010,Renewable Energy Systems Americas,UK,Renewable Energy Systems,22500,3250,27750
2010,Renre North America Inc,UK,RenaissanceRe Holdings,0,0,0
2010,Research In Motion,Canada,Research in Motion,8000,8000,16000
2010,Rio Tinto America,UK,Rio Tinto Group,36500,30500,71000
2010,Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce PLC,176800,172000,353800
2010,Sanofi-Aventis US (Sanofi-Aventis),France,Sanofi-Aventis,43500,43500,87000
2010,Sanofi-Pasteur Inc (Sanofi-Aventis),France,Sanofi-Aventis,19750,24750,44500
2010,Santander Bank (Banco Santander),Spain,Banco Santander,9500,0,9500
2010,SAP America,Germany,SAP AG,31000,15500,46500
2010,Schaeffler Group USA,Germany,Schaeffler Group,2000,1000,3000
2010,Securitas Security Services USA,Sweden,Securitas AB,0,10500,10500
2010,Serco Inc,UK,Serco Group,41000,45900,86900
2010,SES Americom (SES SA),Luxembourg,SES SA,3000,0,3000
2010,Severstal Warren,Russia,OAO Severstal,0,0,0
2010,Shell Oil,Netherlands,Royal Dutch Shell,0,0,0
2010,Shire Pharmaceuticals,UK,Shire Plc,1000,500,1500
2010,Siemens Corp,Germany,Siemens AG,171000,128000,302000
2010,Skilled Healthcare Group (Onex Corp),Canada,Onex Corp,13500,0,13500
2010,Smith & Nephew,UK,Smith & Nephew Plc,0,0,0
2010,Smiths Detection,UK,Smiths Group PLC,7800,1000,10800
2010,Sodexo Inc,France,Sodexo,41000,8500,49500
2010,Sony Pictures Entertainment (Sony Corp),Japan,Sony Corp,111400,79500,191900
2010,Space Systems/Loral,UK,Loral Space & Communications,6900,0,6900
2010,Spirit Aerosystems (Onex Corp),Canada,Onex Corp,5000,23400,28400
2010,Stanley Inc (CGI Group),Canada,CGI Group,8200,9200,17400
2010,Sun Life Assurance of Canada (Sun Life Financial),Canada,Sun Life Financial,13900,6000,19900
2010,Sunovion Pharmaceuticals,Japan,Sumitomo Chemical,29500,3000,32500
2010,Swedish Match North America (Swedish Match AB),Sweden,Swedish Match AB,32500,39000,71500
2010,Swiss Re America,Switzerland,Swiss Reinsurance,12400,7800,20200
2010,Syngenta Corp,Switzerland,Syngenta AG,145500,103500,249000
2010,T-Mobile USA,Germany,Deutsche Telekom AG,220400,177750,398150
2010,Takeda Pharmaceuticals North America (Takeda Pharmaceutical Co),Japan,Takeda Pharmaceutical Co,7000,10000,17000
2010,Talecris Biotherapeutics,Spain,Grifols SA,25000,25000,50000
2010,Tate & Lyle Americas (Tate & Lyle),UK,Tate & Lyle,11500,17450,28950
2010,Teva Pharmaceuticals USA,Israel,Teva Pharmaceutical Industries,56200,40500,96700
2010,Timex Group USA,Netherlands,Timex Group,0,0,0
2010,Tyco International,Ireland,Tyco International,134000,129000,263000
2010,UBS Americas,Switzerland,UBS AG,258500,206000,469500
2010,Ultra Electronics Prologic,UK,Ultra Electronics,20000,12950,33450
2010,UnionBanCal Corp,Japan,Mitsubishi UFJ Financial Group,0,0,0
2010,United Water,France,SUEZ Environnement,10100,5000,15100
2010,Universal Music Group (Vivendi Universal),France,Vivendi Universal,82800,61500,145300
2010,VT Halter Marine,Singapore,ST Engineering,2500,1000,4000
2010,Weatherford US,UK,Weatherford International,2900,8200,11100
2010,Westfield Corp,Australia,Westfield Group of Australia,15126,0,15126
2010,Westinghouse Electric,Japan,Toshiba Corp,18500,16500,35000
2010,Wexler & Walker Public Policy Assoc (WPP Group),UK,WPP Group,62500,36500,100000
2010,Willis North America,UK,Willis Group Holdings,4500,3000,7500
2010,XL America,Ireland,XL Group PLC,1500,0,1500
2010,Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services,78000,90000,168000
2012,ABB Group,Switzerland,Asea Brown Boveri,3500,2000,5500
2012,Abengoa Solar,Spain,Abengoa SA,0,0,0
2012,Accenture (Accenture),Ireland,Accenture plc,0,0,0
2012,Accenture (Accenture),Ireland,Accenture plc,160000,144500,304500
2012,ACE INA,Switzerland,ACE Ltd,121500,160000,281500
2012,Advance America Cash Advance Centers (Grupo Salinas),Mexico,Grupo Salinas,22000,93750,115750
2012,Advanced BioHealing (Shire Plc),UK,Shire Plc,19750,17500,37250
2012,Agrium US,Canada,Agrium Inc,0,112,112
2012,Air Liquide America,France,L'Air Liquide SA,12000,9000,25500
2012,Alcatel-Lucent USA (Alcatel-Lucent),France,Alcatel-Lucent,8000,11000,19000
2012,Alcon Laboratories (Novartis AG),Switzerland,Novartis,2000,6000,8000
2012,Alkermes Inc,Ireland,Alkermes Plc,1000,5000,6000
2012,Allianz of America (Allianz),Germany,Allianz AG Holding,25000,55750,80750
2012,Alstom,France,Alstom SA,0,0,0
2012,AMG Vanadium,Netherlands,AMG Advanced Metallurgical Group,0,0,0
2012,Anheuser-Busch,Belgium,Anheuser-Busch InBev,361381,445000,806381
2012,AON Corp (AON plc),UK,AON PLC,49000,66000,115000
2012,APL Ltd,Singapore,Neptune Orient Lines Ltd,6000,29500,35500
2012,Arcadis US,Netherlands,Arcadis NV,95000,89500,184500
